Billing Information,Thông tin hóa đơn
Change Payment Method,Đổi cách thanh toán
Change Shipping Address,Đổi địa chỉ chuyển hàng
Edit Shopping Cart,Sửa giỏ mua sắm
Incl. Tax,Bao gồm thuế
Items in Your Shopping Cart,Hàng hóa trong giỏ mua sắm của bạn
No shipping method required.,Không có cách chuyển hàng được yêu cầu.
PayPal Account,Tài khoản PayPal
PayPal Email,Email ở Paypal
Payment Method,Cách thanh toán
Place an Order,Đặt đơn hàng
Please select a shipping method...,Lựa chọn cách chuyển hàng...
Price,Giá
Product Name,Tên sản phẩm
Qty,Số lượng
Review Order,Xem thử đơn hàng
Shipping Address,Địa chỉ chuyển hàng
Shipping Information,Thông tin chuyển hàng
Shipping Method,Cách chuyển hàng
"Sorry, no quotes are available for this order at this time.","Xin lỗi, không có định giá cho đơn hàng này tại thời điểm hiện tại."
Submitting order information...,Đang gửi thông tin đơn hàng...
Subtotal,Tổng tiền hàng
Update Shipping Method,Cập nhật cách chuyển hàng
You will be redirected to PayPal website when you place an order.,Bạn sẽ được chuyển đến website của Paypal khi bạn đặt hàng.
You will be redirected to Paypal in a few seconds.,Bạn sẽ được chuyển đến website của Paypal trong vài giây.
Your billing address will be ignored and you will be redirected to PayPal website,Thông tin hóa đơn của bạn sẽ bị bỏ và bạn sẽ chuyển đến website của PayPal.
