"1 star","@FIXME: 1 sao"
"2 stars","@FIXME: 2 sao"
"3 stars","@FIXME: 3 sao"
"4 stars","@FIXME: 4 sao"
"5 stars","@FIXME: 5 sao"
"Add New Rating","@FIXME: Thêm New Đánh giá"
"Assigned Options","@FIXME: Tùy chọn giao"
"Be the first to review this product","@FIXME: Hãy là người đầu tiên nhận xét sản phẩm này"
"Default Value","@FIXME: Giá trị mặc định"
"Delete Rating","@FIXME: xóa Đánh giá"
"Edit Rating","@FIXME: chỉnh sửa Đánh giá"
ID,"@FIXME: ID"
"If you do not specify a rating title for a store, the default value will be used.","@FIXME: Nếu bạn không chỉ định một tiêu đề đánh giá cho một cửa hàng, giá trị mặc định sẽ được sử dụng."
"Manage Ratings","@FIXME: quản lý Ratings"
"New Rating","@FIXME: New Đánh giá"
"Option Label","@FIXME: tùy chọn Label"
"Option Title:","@FIXME: Lựa chọn Tiêu đề:"
"Option Title","@FIXME: Lựa chọn Tiêu đề"
"Please select one of each ratings above","@FIXME: Hãy chọn một trong mỗi xếp hạng trên"
"Rating Information","@FIXME: Đánh giá thông tin"
"Rating isn't Available",@TODO
"Rating Name","@FIXME: Đánh giá Tên"
"Rating Options","@FIXME: Đánh giá Tùy chọn"
"Rating Title","@FIXME: Tiêu đề"
"Rating Visibility","@FIXME: Đánh giá Tầm nhìn"
"Rating with the same title","@FIXME: Đánh giá với cùng một tiêu đề"
"Save Rating","@FIXME: Lưu Đánh giá"
"Sort Order","@FIXME: Xếp theo thứ tự"
"Visible In","@FIXME: Trong Visible"
