//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"""%s"" is not available in the requested quantity. %s of the items will be backordered.","Không nhận được ""%s"" trong số lượng yêu cầu. %s của các mặt hàng sẽ là tồn đọng."
"%s is available for purchase in increments of %s only.","Mua hàng nhận được %s chỉ khi %s tăng."
"%s is not a correct comparsion method.","%s không phải là một phương pháp so sánh đúng."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Lưu ý</strong> rằng những thiết lập này được áp dụng cho các mặt hàng trong giỏ hàng, không phải toàn bộ giỏ hàng."
"Add Minimum Qty","Thêm số lượng tối thiểu"
"Allow Qty Below 0","Cho phép số lượng dưới 0"
"Allow Qty Below 0 and Notify Customer","Cho phép số lượng dưới 0 và thông báo khách hàng"
"Automatically Return Credit Memo Item to Stock","Tự động trả lại mặt hàng bản ghi tín dụng vào kho hàng"
"Backorders","Các đơn hàng tồn đọng"
"By Fixed value","Bởi giá trị cố định"
"By Percentage","Bởi tỷ lệ phần trăm"
"Cannot specify product identifier for the order item.","Không thể xác định định danh sản phẩm cho mặt hàng được đặt."
"Catalog Inventory","Danh mục sản phẩm tồn kho"
"Decrease Stock When Order is Placed","Giảm kho khi đơn hàng được đặt"
"Display Out of Stock Products","Hiển thị các sản phẩm hết hàng"
"Enable Qty Increments","Kích hoạt tăng số lượng"
"In Stock","Còn hàng"
"Index Product Stock Status","Chỉ mục trạng thái kho hàng"
"Inventory","Sản phẩm tồn kho"
"Inventory API","API sản phẩm tồn kho"
"Inventory Section","Khu vực sản phẩm tồn kho"
"Manage Stock","Quản lý kho hàng"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"
"Minimum Qty","Số lượng tối thiểu"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"
"No Backorders","Không có đơn hàng tồn đọng"
"Not all products are available in the requested quantity","Không phải tất cả các sản phẩm đều có trong số lượng yêu cầu"
"Notify for Quantity Below","Thông báo về số lượng dưới đây"
"Only X left Threshold","Chỉ X vượt ngưỡng"
"Out of Stock","Hết hàng"
"Product Stock Options","Các tùy chọn kho hàng"
"Qty Increments","Tăng số lượng"
"Qty for Item's Status to Become Out of Stock","Số lượng cho các mặt hàng để có trạng thái hết hàng"
"Retrieve stock data","Nhận dữ liệu kho hàng"
"Retrieve stock data by product ids","Nhận dữ liệu kho hàng bởi các ID sản phẩm"
"Rule price","Quy tắc giá"
"Set Items' Status to be In Stock When Order is Cancelled","Thiết lập trạng thái mặt hàng là còn hàng khi đơn hàng bị hủy"
"Some of the products are currently out of stock","Một số sản phẩm hiện nay đã hết hàng"
"Some of the products cannot be ordered in requested quantity.","Một số sản phẩm không thể đặt hàng theo số lượng yêu cầu."
"Some of the products cannot be ordered in the requested quantity.","Một số sản phẩm không thể đặt hàng theo số lượng yêu cầu."
"Stock Options","Các tùy chọn kho hàng"
"Stock Status","Trạng thái kho hàng"
"The maximum quantity allowed for purchase is %s.","Số lượng tối đa cho phép mua là %s."
"The minimum quantity allowed for purchase is %s.","Số lượng tối đa cho phép mua là %s."
"The requested quantity for ""%s"" is not available.","Không nhận được số lượng yêu cầu cho ""%s""."
"The stock item for Product in option is not valid.","Mặt hàng cho sản phẩm trong tùy chọn không hợp lệ."
"The stock item for Product is not valid.","Mặt hàng cho sản phẩm không hợp lệ."
"This product is available for purchase in increments of %s only.","Sản phẩm này mua được chỉ khi %s tăng."
"This product is currently out of stock.","Hiện nay sản phẩm này đã hết hàng."
"This product is not available in the requested quantity. %s of the items will be backordered.","Không nhận được sản phẩm này theo số lượng yêu cầu. %s của mặt hàng này sẽ là tồn đọng."
"To Fixed Value","Theo giá trị cố định"
"To Percentage","Theo tỷ lệ phần trăm"
"Undefined product type.","Loại sản phẩm không được xác định."
"Update","Cập nhật"
"Update product stock data","Cập nhật dữ liệu kho hàng"
"Update the Product","Cập nhật sản phẩm"
