//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"--Please Select--","--Xin chọn--"
"API Login ID","ID đăng nhập API"
"Accepted Currency","Đồng tiền được chấp nhận"
"Authorize.net Direct Post","Gửi trực tiếp Authorize.net"
"Card Verification Number","Số xác minh thẻ"
"Card Verification Number Visual Reference","Tài liệu tham khảo trực quan số xác minh thẻ"
"Close","Đóng"
"Credit Card Information","Thông tin thẻ tín dụng"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Types","Các loại thẻ tín dụng"
"Credit Card Verification","Xác minh thẻ tín dụng"
"Debug","Gỡ rối"
"Email Customer","Thư điện tử khách hàng"
"Enabled","Đã được kích hoạt"
"Expiration Date","Ngày hết hạn"
"Gateway URL","Cổng URL"
"Maximum Order Total","Tổng số đơn hàng tối đa"
"Merchant MD5","MD5 doanh nhân"
"Merchant's Email","Thư điện tử doanh nhân"
"Minimum Order Total","Tổng số đơn hàng tối thiểu"
"New Order Status","Trạng thái đặt hàng mới"
"Order saving error: %s","Lỗi lưu đơn hàng: %s"
"Payment Action","Hoạt động thanh toán"
"Payment authorization error.","Lỗi ủy quyền thanh toán."
"Payment authorization error. Transacion id is empty.","Lỗi ủy quyền thanh toán. ID giao dịch rỗng."
"Payment error. Order was not found.","Lỗi thanh toán. Không tìm thấy đơn hàng."
"Payment error. Paid amount doesn\'t match the order amount.","Lỗi thanh toán. Số tiền thanh toán không phù hợp với số tiền đặt hàng."
"Payment from Applicable Countries","Thanh toán từ các quốc gia đang áp dụng"
"Payment from Specific Countries","Thanh toán từ các quốc gia được xác định"
"Please, choose payment method","Xin chọn phương thức thanh toán"
"Response hash validation failed. Transaction declined.","Không đáp ứng băm xác nhận (hash validation). Từ chối giao dịch."
"Sort Order","Thứ tự sắp xếp"
"Test Mode","Chế độ kiểm tra"
"The order has been created.","Đơn hàng đã được tạo."
"There was an error processing your order. Please contact us or try again later.","Lỗi xảy ra trong quá trình đặt hàng. Xin liên hệ với chúng tôi hoặc thử lại."
"Title","Tiêu đề"
"Transaction Key","Khóa giao dịch"
"What is this?","Đây là gì?"
"You will be required to enter your payment details before you place an order.","Quý khách vui lòng nhập chi tiết thanh toán trước khi đặt hàng."
