"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","@FIXME: Bộ chuyển đổi phải là một thể hiện của Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","@FIXME: Đối tượng chuyển đổi phải có một thể hiện của % s"
"Adapter type must be a non empty string","@FIXME: Kiểu Adapter phải là một chuỗi không có sản phẩm nào"
"Append Complex Data","@FIXME: Nối dữ liệu phức tạp"
"Attribute Code","@FIXME: Thuộc tính Mã"
"Attribute does not has options, so filtering is impossible","@FIXME: Thuộc tính không có các tùy chọn, vì vậy lọc là không thể"
"Attribute Label","@FIXME: Thuộc tính Label"
"Begin data validation","@FIXME: Bắt đầu xác nhận dữ liệu"
"Begin export of %s","@FIXME: Bắt đầu xuất khẩu của % s"
"Begin import of ""%s"" with ""%s"" behavior","@FIXME: Bắt đầu nhập khẩu""% s""với hành vi""% s"""
"Can not determine attribute filter type","@FIXME: Không thể xác định loại bộ lọc thuộc tính"
"Can not find required columns: %s","@FIXME: Không thể tìm thấy các cột cần thiết: % s"
"Cannot get autoincrement value","@FIXME: Không thể có được giá trị autoincrement"
"Check Data","@FIXME: Kiểm tra dữ liệu"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","@FIXME: Hàng kiểm tra: % d, kiểm tra các đơn vị: % d, hàng không hợp lệ: % d, tổng số lỗi: % d"
"Column names have duplicates","@FIXME: Tên cột có bản sao"
"Column names is empty or is not an array","@FIXME: Tên cột là trống rỗng, hoặc không phải là một mảng"
"Column names: ""%s"" are invalid","@FIXME: Tên cột:""% s""không hợp lệ"
CSV,"@FIXME: CSV"
Customers,"@FIXME: Khách hàng"
"Data is invalid or file is not uploaded","@FIXME: Dữ liệu không hợp lệ hoặc tập tin không được tải lên"
"Delete Entities","@FIXME: xóa Entities"
"Destination directory is not writable","@FIXME: Thư mục đích không cho phép ghi"
"Destination file is not writable","@FIXME: Tập tin đích là không cho phép ghi"
"Destination file path must be a string","@FIXME: Đường dẫn tập tin đích phải là một chuỗi"
"Done import data validation","@FIXME: Thực hiện xác nhận dữ liệu nhập khẩu"
"Duplicate Unique Attribute for '%s'","@FIXME: Sao chép thuộc tính độc đáo cho % s"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","@FIXME: Bộ chuyển đổi thực thể obejct phải là một thể hiện của Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","@FIXME: Bộ chuyển đổi đối tượng thực thể phải có một thể hiện của Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","@FIXME: Thực thể là chưa biết"
"Entity Type","@FIXME: Loại thực thể"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","@FIXME: Loại thực thể mô hình phải là một thể hiện của Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","@FIXME: Loại thực thể mô hình phải là một thể hiện của Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","@FIXME: Lỗi trong cấu trúc dữ liệu: hành vi được trộn lẫn"
"Error in data structure: entity codes are mixed","@FIXME: Lỗi trong cấu trúc dữ liệu: mã số thực thể được trộn lẫn"
"Errors limit (%d) reached. Please fix errors and re-upload file","@FIXME: Lỗi giới hạn (% d ) đạt.  Xin hãy sửa lỗi và các tập tin tải lên lại"
"Exported %s rows.","@FIXME: % Xuất khẩu của hàng."
"Export File Format","@FIXME: Export File Format"
Export,"@FIXME: xuất khẩu"
"Export has been done.","@FIXME: Xuất khẩu đã được thực hiện."
"Export Settings","@FIXME: Cài đặt xuất khẩu"
"File does not contain data.","@FIXME: Tập tin không chứa dữ liệu."
"File does not contain data. Please upload another one","@FIXME: Tập tin không chứa dữ liệu.  Hãy tải lên nhau"
"File format is unknown","@FIXME: Định dạng tập tin không rõ"
"File is partially valid, but import is not possible","@FIXME: Tập tin có giá trị một phần, nhưng nhập khẩu là không thể"
"File is totally invalid. Please fix errors and re-upload file","@FIXME: Tập tin là hoàn toàn hợp lệ.  Xin hãy sửa lỗi và các tập tin tải lên lại"
"File is valid, but import is not possible","@FIXME: Tập tin là hợp lệ, nhưng nhập khẩu là không thể"
"File is valid! To start import process press ""Import"" button","@FIXME: File là hợp lệ!  Để bắt đầu quá trình nhập khẩu bấm nút""Nhập"""
"File was not uploaded","@FIXME: Tập tin không được tải lên"
Filter,"@FIXME: Lọc"
From,"@FIXME: từ"
"Header column names already set","@FIXME: Tên cột tiêu đề đã được thiết lập"
"Import Behavior","@FIXME: Hành vi nhập khẩu"
Import/Export,"@FIXME: Import / Export"
Import,"@FIXME: nhập khẩu"
"Import has been done successfuly.","@FIXME: Nhập khẩu đã được thực hiện successfuly."
"Import Settings","@FIXME: Import Settings"
"Import successfully done.","@FIXME: Nhập khẩu thực hiện thành công."
"Input entity code is not equal to entity adapter code","@FIXME: Mã đơn vị đầu vào không phải là bằng thực thể đang chuyển đổi"
"in rows:","@FIXME: trong hàng:"
"in rows","@FIXME: trong hàng"
"Invalid entity","@FIXME: thực thể không hợp lệ"
"Invalid entity model","@FIXME: Mô hình tổ chức không hợp lệ"
"Invalid file format","@FIXME: Định dạng tập tin không hợp lệ"
"Invalid parameters","@FIXME: các thông số không hợp lệ"
"Invalid seek position","@FIXME: Không hợp lệ tìm kiếm vị trí"
"Invalid value for '%s' column","@FIXME: Giá trị không hợp lệ cho cột % s"
"Invalid value for '%s'","@FIXME: Giá trị không hợp lệ cho % s"
"Node does not has model token tag","@FIXME: Node không có mô hình Mã thông báo thẻ"
"No filter data provided","@FIXME: Không có dữ liệu lọc cung cấp"
"No source specified","@FIXME: Không có nguồn quy định"
"Not implemented yet","@FIXME: Chưa triển khai"
"No valid data sent","@FIXME: Không có dữ liệu hợp lệ gửi"
"No writer specified","@FIXME: Không có nhà văn quy định"
"Please fix errors and re-upload file","@FIXME: Xin hãy sửa lỗi và các tập tin tải lên lại"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","@FIXME: Xin hãy sửa lỗi và các tập tin tải lên lại hoặc chỉ cần nhấn nút""Import""để bỏ qua hàng với các lỗi"
"-- Please Select --","@FIXME: - Vui lòng chọn -"
Products,"@FIXME: sản phẩm"
"Replace Existing Complex Data","@FIXME: Thay thế hiện tại dữ liệu phức tạp"
"Select File to Import","@FIXME: Chọn tập tin để nhập khẩu"
"%s file does not exists or is not readable","@FIXME: tập tin % s không tồn tại hoặc không thể đọc được"
Skip,"@FIXME: nhảy"
"Source file moving failed","@FIXME: Nguồn tập tin chuyển đến nơi ở thất bại"
"Source file path must be a string","@FIXME: Đường dẫn tập tin nguồn phải là một chuỗi"
"Source is not set","@FIXME: Nguồn không được thiết lập"
Status,"@FIXME: Tình trạng"
"There are no product types available for export","@FIXME: Không có loại sản phẩm dành cho xuất khẩu"
"There is no data for export","@FIXME: Không có dữ liệu cho xuất khẩu"
