"Cannot retrieve the wishlist","Không thể lấy mục mong muốn"
Catalog,"Danh mục"
"Category Feeds","Feeds Danh mục"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">here</a> để xem nhận xét"
"Click for price","@FIXME: Nhấn vào đây để giá"
"Comment: %s<br/>","Nhận xét: %s<br/>"
Coupons/Discounts,"Thưởng/Giảm giá"
"Current Status: %s<br/>","Trạng thái hiện tại: %s<br/>"
"Customer Name: %s","Tên khách hàng: %s"
"Customer Order Status Notification","Thông báo trạng thái đơn hàng của khách"
"Details for %s #%s","Chi tiết cho %s #%s"
"Discount ","@FIXME: giảm giá"
Discount,"Giảm giá"
"Discount (%s)","@FIXME: Chiết khấu ( % s)"
"Enable RSS","Bật RSS"
"Error in processing xml. %s","Lỗi khi xử lý xml. %s"
From:,Từ:
"Get Feed","Nhận Feed"
"Gift Message","Tin nhắn có quà"
"Grand Total","Tổng số"
"Low Stock Products","Sản phẩm ít hàng"
Message:,"Tin nhắn:"
"Miscellaneous Feeds","Feeds nhiều thứ khác"
"New Orders","Đơn hàng mới"
"New Products from %s","Sản phẩm mới từ %s"
"New Products","Sản phẩm mới"
"Notified Date: %s<br/>","Ngày thông báo: %s<br/>"
"Order #%s created at %s","Đơn hàng #%s tạo lúc %s"
"Order # %s Notification(s)","Đơn hàng # %s thông báo"
"Pending product review(s)","Đang treo nhận xét sản phẩm"
"Product: <a href=""%s"">%s</a> <br/>","Sản phẩm: <a href=""%s"">%s</a> <br/>"
"Product: ""%s"" review By: %s","Sản phẩm: ""%s"" nhận xét bởi: %s"
"Products tagged with %s","Sản phẩm được đánh tags với %s"
"Purchased From: %s","Mua từ: %s"
"Review: %s <br/>","Nhận xét: %s <br/>"
"Rss Config","Cấu hình Rss"
"RSS Feeds","@FIXME: RSS Feeds"
"RSS Feeds List","@FIXME: RSS Feeds Danh sách"
"RSS Feeds Section","@FIXME: RSS Feeds Mục"
"Rss Feeds Section","Mục Rss Feeds"
RSS,"@FIXME: RSS"
"RSS testing","Thử RSS"
"%s - Discounts and Coupons","%s - Giảm giá và phiếu thưởng"
"%s has reached a quantity of %s.","%s đã đạt số lượng của %s."
"Shipping &amp; Handling","@FIXME: Vận Chuyển u0026 amp;  xử lý"
"Shipping & Handling","Phí vận chuyển"
"Special/Discount Products","Sản phẩm Đặc biệt/Giảm giá"
"Special Products","Sản phẩm đặc biệt"
"%s RSS Feed","@FIXME: % s RSS Feed"
"%s - Special Discounts","%s - Giảm giá đặc biệt"
"%s - Special Products","@FIXME: % s - Sản phẩm đặc biệt"
"%s\'s Wishlist","%s của mục mong muốn"
"%s's Wishlist",@TODO
"Store: %s <br/>","Cửa hàng: %s <br/>"
Subtotal,"Thành tiền"
"Summary of review: %s <br/>","Tổng kết nhận xét: %s <br/>"
"Tags Products","Tags Sản phẩm"
Tax,Thuế
"There are no Rss Feeds.","@FIXME: Không có Rss Feeds."
"There are no Rss Feeds","Không có Rss Feeds"
"Top Level Category","Mục cao nhất"
"Total Products: %s","Tổng sản phẩm: %s"
"Total: %s<br/>","Tổng: %s<br/>"
To:,Tới:
Wishlist,"Mục mong muốn"
