Add,"@FIXME: thêm vào"
"Add links and samples to downloadable product","@FIXME: Thêm liên kết và mẫu đến sản phẩm tải về"
"Add New Row","Thêm dòng mới"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.",@TODO
"An error occurred while getting the requested content.","@FIXME: Đã xảy ra lỗi trong khi nhận được nội dung yêu cầu."
"An error occurred while getting the requested content. Please contact the store owner.","@FIXME: Đã xảy ra lỗi trong khi nhận được nội dung yêu cầu.  Xin vui lòng liên hệ với chủ cửa hàng."
"An error occurred while saving the file(s).","Lỗi xảy ra khi đang lưu file."
attachment,"Đính kèm"
Availability:,"@FIXME: sẵn có:"
"Availability: In stock.","Tình trạng: còn hàng."
"Availability: Out of stock.","Tình trạng: hết hàng."
Back,"@FIXME: trở lại"
Canceled,"Đã hủy"
"Cannot connect to remote host, error: %s.","@FIXME: Không thể kết nối đến máy chủ từ xa, báo lỗi: % s."
"Can\'t connect to remote host, error: %s","Không thể kết nối tới remote host, lỗi: %s"
"Can't connect to remote host, error: %s",@TODO
"Catalog Product View (Downloadable)","@FIXME: Danh mục hàng Xem ( Tải về )"
"Category API","@FIXME: Danh mục API"
"Customer My Account Downloadable Items","@FIXME: Khách hàng Tài khoản của tôi mục Tải về"
Date,Ngày
"Default Link Title","Tiêu đề đường dẫn mặc định"
"Default Maximum Number of Downloads","Số lượng tải về (download) mặc định"
"Default Sample Title","Tiêu đề mẫu mặc định"
Delete,"@FIXME: xóa bỏ"
"Disable Guest Checkout if Cart Contains Downloadable Items","@FIXME: Vô hiệu hoá Guest Thanh toán nếu Giỏ Chứa mục Tải về"
"Disable Guest Checkout if cart contains downloadable items","Tắt tính năng mua hàng và thanh toán cho khách nếu giỏ hàng bao gồm các sản phẩm có thể tải về (downloadable)"
"Downloadable Information","Thông tin có thể tải về"
"Downloadable Product Options","Tùy chọn sản phẩm có thể tải về"
"Downloadable Product","Sản phẩm có thể tải về"
"Downloadable Product Section","@FIXME: Tải về Mục sản phẩm"
"Downloadable product Section","Section sản phẩm có thể tải về"
download,"tải về (download)"
Edit,"@FIXME: chỉnh sửa"
"Edit item parameters","@FIXME: Các thông số chỉnh sửa mục"
"Excl. Tax","Không bao gồm thuế"
"File does not exists","File không tồn tại"
File,"@FIXME: hồ sơ"
From:,Từ:
"Gift Message","Thông báo quà tặng"
"Go to <a href=""%s"">My Downloadable Products</a>","Đến <a href=""%s"">Các sản phẩm có thể tải về của tôi</a>"
"Guest checkout will only work with shareable.","@FIXME: Khách thanh toán sẽ chỉ làm việc với thể chia sẻ."
"Guest checkout will only work with shareable","Thanh toán cho khách chỉ hoạt động với các sản phẩm có thể chia sẻ"
"Incl. Tax","Bao gồm thuế"
inline,"cùng dòng"
"In stock","@FIXME: trong chứng khoán"
"Invalid download link type.","@FIXME: Không hợp lệ kiểu liên kết tải xuống."
"Invalid download link type","Loại đường dẫn tải về không hiệu lực"
"Invalid download URL host.","@FIXME: Không hợp lệ máy chủ tải về URL."
"Invalid download URL host","URL host tải về không hiệu lực"
"Invalid download URL scheme.","@FIXME: Không hợp lệ chương trình tải về URL."
"Invalid download URL scheme","URL scheme tải về không hiệu lực"
Invoiced,"@FIXME: lập hoá đơn"
"Link has expired.","@FIXME: Liên kết đã hết hạn."
"Link is expired.","Đường dẫn đã hết hạn."
"Link is not available.","Đường dẫn không sử dụng được."
"Links can be purchased separately","Đường dẫn có thể mua riêng lẻ"
List,"@FIXME: danh sách"
"Max. Downloads","Tải về tối đa"
Message:,"Thông báo:"
Move,"@FIXME: chuyển động"
"My Downloadable Products","Các sản phẩm có thể tải về của tôi"
"Open Links in New Window","Mở đường dẫn trong cửa sổ mới"
"Order #","Đơn hàng #"
Ordered,"Đặt hàng"
"Order id cannot be null","@FIXME: Id trật tự không thể null"
"Order item id cannot be null","@FIXME: Mục để id không thể null"
"Order Item Status to enable Downloads","@FIXME: Đặt mục Status để cho phép tải"
"Order Item Status to Enable Downloads","@FIXME: Đặt mục Status để Enable tải"
"Order Status to enable Downloads","Trạng thái đặt hàng để bật tải về"
"Out of stock","@FIXME: Ra khỏi cổ phiếu"
Pending,"@FIXME: chưa giải quyết"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","@FIXME: Vui lòng đăng nhập để tải về sản phẩm của bạn hoặc mua u003ca href=""%s""u003e % s u003c/au003e."
"Please log in to download your product.","Vui lòng đăng nhập để tải về sản phẩm của bạn."
"Please set resource file and link type.","@FIXME: Hãy thiết lập tập tin tài nguyên và kiểu liên kết."
"Please set resource file and link type","Vui lòng thiết lập loại file và đường dẫn"
"Please specify product link(s).","Vui lòng chỉ định đường dẫn sản phẩm."
Price,Giá
"Product downloadable links","@FIXME: Liên kết tải về sản phẩm"
Qty,"@FIXME: Số lượng"
Refunded,"@FIXME: hoàn"
"Remaining Downloads","Vẫn đang tải về"
Remove,"@FIXME: tẩy"
"Remove item","Bỏ sản phẩm"
"Remove Item","@FIXME: Loại bỏ mặt hàng"
