Actions,Hành động
Add Answer,Thêm câu trả lời
Add New Answer,Thêm câu trả lời mới
Add New Poll,Thêm điều tra mới
Answer Title,Tiêu đề câu trả lời
Answer Title:,Tiêu đề câu trả lời:
Answer was successfully saved,Câu trả lời của bạn đã được lưu
Answer with the same title in this poll,Câu trả lời với cùng tiêu đề trong điều tra này
Are you sure you want to delete it?,Bạn có chắc chắn xóa?
Assigned Answers,Đã ấn định câu trả lời
Closed,Đã đóng
Community Poll,Điều tra cộng đồng
Date Closed,Ngày đóng
Date Posted,Ngày gửi
Delete,Xóa
Delete Answer,Xóa câu trả lời
Delete Poll,Xóa điều tra
Disallow voting in a poll multiple times from same IP-address,Không cho phép đánh giá điều tra nhiều lần trên cùng 1 địa chỉ IP.
Edit Answer '%s',Sửa câu trả lời '%s'
Edit Poll '%s',Sửa điều tra '%s'
Edit Poll Answer,Sửa câu trả lời điều tra
ID,ID
Invalid Answer,Câu trả lời không hợp lệ
New Poll,Điều tra mới
Number of Responses,Số phản hồi
Open,Mở
Poll Answers,Câu trả lời của cuộc điều tra
Poll Information,Thông tin điều tra
Poll Manager,Quản lý điều tra
Poll Question,Câu hỏi điều tra
Poll information,Thông tin điều tra
Poll not exists,Điều tra này không tồn tại
Poll with the same question,Điều tra cùng câu hỏi
Save Answer,Lưu câu trả lời
Save Poll,Lưu điều tra
Status,Trạng thái
Unable to find answer to delete.,Không tìm thấy câu trả lời để xóa.
Visible In,Ẩn trong
Vote,Bình chọn
Votes Count,Số lần bầu
Votes Count:,Số lần bầu:
