Action,"@FIXME: hoạt động"
"Cannot initialize the indexer process.","@FIXME: Không thể khởi tạo quá trình chỉ mục."
"Change Index Mode","@FIXME: Thay đổi chế độ Index"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","@FIXME: Click vào đây để đi đến u003ca href=""%s""u003e Quản lý bộ nhớ cache u003c/au003e và làm mới các loại bộ nhớ cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","@FIXME: Click vào đây để đi đến u003ca href=""%s""u003e Index Quản lý u003c/au003e và xây dựng lại các chỉ số cần thiết."
Delete,"@FIXME: xóa bỏ"
Description,"@FIXME: miêu tả"
Disable,"@FIXME: Vô hiệu hoá"
Enable,"@FIXME: cho phép"
General,"@FIXME: chung"
"Index Description","@FIXME: Index Mô tả"
"Indexer code is not defined.","@FIXME: Đang lập chỉ mục không được xác định."
"Indexer model is not defined.","@FIXME: Mô hình chỉ mục không được định nghĩa."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","@FIXME: Mô hình chỉ mục nên mở rộng Mage_Index_Model_Indexer_Abstract."
Index,"@FIXME: mục lục"
"Index Management","@FIXME: Quản lý Index"
"Index mode","@FIXME: chế độ Index"
"Index Mode","@FIXME: Chế độ Index"
"Index Name","@FIXME: Tên Index"
"Manual Update","@FIXME: Cập nhật thủ công"
Mode,"@FIXME: chế độ"
Never,"@FIXME: không bao giờ"
No,"@FIXME: không"
"One or more of the Indexes are not up to date:","@FIXME: Một hoặc nhiều của các chỉ số là không được cập nhật:"
"Please select Indexes","@FIXME: Vui lòng chọn chỉ số"
"Please select Index(es)","@FIXME: Vui lòng chọn Index ( es )"
"Process Information","@FIXME: Thông tin quá trình"
Processing,"@FIXME: chế biến"
Ready,"@FIXME: sẳn sàng"
Refresh,"@FIXME: Làm mới"
"Reindex Data","@FIXME: reindex dữ liệu"
"Reindex Required","@FIXME: reindex buộc"
Revoke,"@FIXME: hủy bỏ"
"'%s' Index Process Information","@FIXME: % s Thông tin Quy trình Index"
"%s Index process is working now. Please try run this process later.","@FIXME: quá trình Index % s đang làm việc bây giờ.  Vui lòng thử chạy quá trình này sau đó."
"%s index was rebuilt.","@FIXME: chỉ số % s đã được xây dựng lại."
Status,"@FIXME: Tình trạng"
System,"@FIXME: hệ thống"
"The index has been saved.","@FIXME: Chỉ số đã được lưu."
"There was a problem with reindexing process.","@FIXME: Có một vấn đề với quá trình reindexing."
"There was a problem with saving process.","@FIXME: Có một vấn đề với quá trình tiết kiệm."
"Total of %d index(es) have changed index mode.","@FIXME: Tổng số % d chỉ số ( es ) đã thay đổi chế độ chỉ số."
"Total of %d index(es) have reindexed data.","@FIXME: Tổng số % d chỉ số ( es ) đã reindexed dữ liệu."
"Updated At","@FIXME: cập nhật Tại"
"Update on Save","@FIXME: Cập nhật vào Save"
"Update Required","@FIXME: Cập nhật yêu cầu"
Yes,"@FIXME: vâng"
