Admin,"@FIXME: quản trị"
"After authorization application will have access to you account.","@FIXME: Sau khi ứng dụng ủy quyền sẽ có quyền truy cập vào tài khoản của bạn."
"An error occurred.","@FIXME: Đã xảy ra lỗi."
"An error occurred on confirm authorize.","@FIXME: Đã xảy ra lỗi trên xác nhận ủy quyền."
"An error occurred on delete action.","@FIXME: Đã xảy ra lỗi trên hành động xóa."
"An error occurred on delete application.","@FIXME: Đã xảy ra lỗi trên ứng dụng xóa."
"An error occurred on reject authorize.","@FIXME: Đã xảy ra lỗi trên từ chối cho phép."
"An error occurred on saving consumer data.","@FIXME: Đã xảy ra lỗi trên dữ liệu tiết kiệm của người tiêu dùng."
"An error occurred on update revoke status.","@FIXME: Đã xảy ra lỗi trên trạng thái cập nhật thu hồi."
"An error occurred while deleting the consumer.","@FIXME: Đã xảy ra lỗi khi xóa người tiêu dùng."
"An error occurred. Your authorization request is invalid.","@FIXME: Đã xảy ra lỗi. Yêu cầu ủy quyền của bạn không hợp lệ."
"Application Name","@FIXME: Tên ứng dụng"
"Application not found.","@FIXME: Ứng dụng không tìm thấy."
"Application ""%s"" has been deleted.",@TODO
"Application ""%s"" has been enabled.",@TODO
"Application ""%s"" has been revoked.",@TODO
"App Name","@FIXME: Tên ứng dụng"
"Are you sure you want to delete this application?","@FIXME: Bạn có chắc chắn muốn xóa ứng dụng này?"
"Are you sure you want to disable this application?","@FIXME: Bạn có chắc chắn muốn vô hiệu hóa ứng dụng này?"
"Are you sure you want to enable this application?","@FIXME: Bạn có chắc chắn muốn kích hoạt ứng dụng này?"
"Authorization confirmed.","@FIXME: Ủy quyền xác nhận."
"Authorization confirmed","@FIXME: ủy quyền xác nhận"
"Authorize application","@FIXME: ủy quyền cho ứng dụng"
Authorize,"@FIXME: ủy quyền"
"Authorized Tokens","@FIXME: Tokens có thẩm quyền"
"Callback URL","@FIXME: URL gọi lại"
"Cleanup Probability","@FIXME: Cleanup Xác suất"
"Cleanup Settings","@FIXME: Cài đặt Cleanup"
Close,"@FIXME: gần"
"Confirmation Of Authorization","@FIXME: Chứng nhận của Authorization"
"Confirm OAuth token authorization","@FIXME: Xác nhận OAuth ủy quyền thẻ"
"Confirm token authorization for admin","@FIXME: Xác nhận ủy quyền mã thông báo cho quản trị"
"Confirm token authorization Pop Up for admin","@FIXME: Xác nhận thẻ ủy quyền Pop Up cho admin"
"Consumer Information","@FIXME: Thông tin tiêu dùng"
"Consumer Name","@FIXME: Tên của người tiêu dùng"
Consumers,"@FIXME: Người tiêu dùng"
"Created At","@FIXME: Tại tạo"
Customer,"@FIXME: khách hàng"
"Customer My Account My OAuth Applications","@FIXME: Khách hàng Tài khoản của tôi ứng dụng OAuth của tôi"
deleted,"@FIXME: xóa"
Delete,"@FIXME: xóa bỏ"
Disabled,"@FIXME: tàn tật"
Disable,"@FIXME: Vô hiệu hoá"
"Edit Consumer","@FIXME: chỉnh sửa tiêu dùng"
Edit,"@FIXME: chỉnh sửa"
"Email Address","@FIXME: Địa chỉ email"
Email,"@FIXME: email"
enabled,"@FIXME: kích hoạt"
