"Access Key","@FIXME: Access Key"
"Access Key ID","@FIXME: Access Key ID"
"Amazon Simple Pay","@FIXME: Amazon Simple Pay"
"Amazon Simple Pay notification error","@FIXME: Amazon Simple Pay thông báo lỗi"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","@FIXME: Amazon Simple dịch vụ Pay lỗi chụp xác nhận: Số tiền yêu cầu xác nhận không phải là bằng số lượng đơn đặt hàng."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","@FIXME: Amazon Simple dịch vụ Pay lỗi chụp xác nhận: số tiền trong hóa đơn hiện tại không phù hợp với số tiền trong yêu cầu xác nhận."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","@FIXME: Amazon Simple dịch vụ Pay lỗi chụp xác nhận: ID giao dịch hiện tại không phù hợp với ID giao dịch trong yêu cầu xác nhận."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","@FIXME: Amazon Simple dịch vụ Pay chụp xác nhận.  Các hoá đơn được chụp tự động."
"Amazon Simple Pay service confirmation error: order states sequence violation.","@FIXME: Amazon lỗi xác nhận dịch vụ phải trả tiền đơn giản: các quốc gia để trình tự vi phạm."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","@FIXME: Amazon lỗi xác nhận dịch vụ phải trả tiền đơn giản: đồng tiền để không phù hợp với tiền tệ của các yêu cầu IPN."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","@FIXME: Amazon lỗi xác nhận dịch vụ phải trả tiền đơn giản: trình tự quy định trong yêu cầu IPN không thể được tìm thấy."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","@FIXME: Amazon lỗi xác nhận dịch vụ phải trả tiền đơn giản: phương thức thanh toán theo thứ tự không phải là Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","@FIXME: Amazon dịch vụ Pay đơn giản khẳng định chụp cho hóa đơn % s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","@FIXME: Amazon dịch vụ Pay đơn giản khẳng định hoàn lại tiền cho bản ghi nhớ tín dụng % s."
"Amazon Simple Pay service has confirmed amount authorization.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận ủy quyền số."
"Amazon Simple Pay service has confirmed cancelation.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận hủy bỏ."
