"Billing Information","@FIXME: Thông tin thanh toán"
"Change Payment Method","@FIXME: Phương pháp thay đổi thanh toán"
"Change Shipping Address","@FIXME: Thay đổi địa chỉ giao hàng"
"Edit Shopping Cart","@FIXME: Giỏ Sửa Shopping"
Email,"@FIXME: email"
"Incl. Tax","@FIXME: Incl. thuế"
"Items in Your Shopping Cart","@FIXME: Các đề mục trong Giỏ hàng của bạn"
"No shipping method required.","@FIXME: Không có phương pháp vận chuyển cần thiết."
"Payment Method","@FIXME: Phương thức thanh toán"
"PayPal Account","@FIXME: Tài khoản PayPal"
"PayPal Email","@FIXME: PayPal Email"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","@FIXME: PayPal Express Checkout ( Payflow Edition) Shortcut Wrapper"
"PayPal Express Order Review Form","@FIXME: Mẫu PayPal tốc theo thứ tự giá"
"Place an Order","@FIXME: Đặt hàng"
"Please select a shipping method...","@FIXME: Hãy lựa chọn một phương pháp vận chuyển..."
Price,"@FIXME: giá"
"Product Name","@FIXME: Tên sản phẩm"
Qty,"@FIXME: Số lượng"
"Review Order","@FIXME: Review Order"
"Shipping Address","@FIXME: Vận Chuyển Địa chỉ"
"Shipping Information","@FIXME: Vận chuyển thông tin"
"Shipping Method","@FIXME: Phương thức vận chuyển"
"Sorry, no quotes are available for this order at this time.","@FIXME: Xin lỗi, không có dấu ngoặc kép có sẵn để đặt hàng này tại thời điểm này."
"Submitting order information...","@FIXME: Gửi thông tin để..."
Subtotal,"@FIXME: Subtotal"
"Update Shipping Method","@FIXME: Cập nhật Phương thức Giao hàng"
"Your billing address will be ignored and you will be redirected to PayPal website","@FIXME: Địa chỉ thanh toán của bạn sẽ bị bỏ qua và bạn sẽ được chuyển đến trang web PayPal"
"You will be redirected to Paypal in a few seconds.","@FIXME: Bạn sẽ được chuyển đến Paypal trong một vài giây."
"You will be redirected to PayPal website when you place an order.","@FIXME: Bạn sẽ được chuyển đến trang web của PayPal khi bạn đặt hàng."
