%s already exist,%s đã tồn tại
%s already exists,%s đã tồn tại
-- Please Select --,-- Hãy lựa chọn --
Add Block Names to Hints,Thêm tên khối vào gợi ý
Add Store Code to Urls,Thêm code store vào Urls
Admin,Quản trị (Admin)
"Admin Base URL","Đường dẫn admin"
Admin User Emails,Email của admin
Advanced,Nâng cao
Allow countries,Quốc gia cho phép
Allowed IPs (comma separated),IP được phép (phân cách bằng dấu phẩy)
Are you sure?,Bạn có chắc chắn?
Back,Quay lại
Backup options,Tùy chọn sao lưu
"Base JavaScript URL","Đường dẫn cho JavaScript"
"Base Link URL","Đường dẫn"
"Base Media URL","Đường dẫn cho media"
"Base Skin URL","Đường dẫn cho Skin"
"Base URL","Đường dẫn cơ bản"
Before modifying the store view code please make sure that it is not used in index.php,Trước khi sửa store view code. Bạn phải chắc chắn rằng chúng không được sử dụng trong file index.php
Before modifying the website code please make sure that it is not used in index.php,Trước khi sửa website code. Bạn phải chắc chắn rằng chúng không được sử dụng trong file index.php
"Block with name ""%s"" already exists","Khối với tên ""%s"" đã tồn tại"
Blocks HTML output,Xuất khối HTML
Can't retrieve request object,Không thể trả về đối tượng (object) yêu cầu
Can\'t retrieve entity config: %s,Không thể trả về thực thể cấu hình: %s
Cancel,Hủy
Cannot Delete Email Template,Không thể xóa Email Template
Cannot complete this operation from non-admin area.,Không thể thực thi tác vụ này ngoài vùng quản trị (non-admin area)
Category object is required for determining product request path,Danh mục đối tượng là bắt buộc để xem xét đường dẫn sản phẩm yêu cầu
Code,Mã
Collections Data,Chọn lọc dữ liệu
Configuration,Cấu hình
Controller file was loaded but class does not exist,Controller file đã được tải nhưng class không tồn tại
"Cookie Domain","Cookie Domain"
Cookie Lifetime,Cookie Lifetime
"Cookie Path","Đường dẫn Cookie"
Copyright,Quyền tác giả
Countries options,Tùy chọn quốc gia
Create Store,Tạo Store
Create Store View,Tạo Store View
Create Website,Tạo website
Current package name,Tên gói hiện thời
Custom Design,Tùy biến thiết kế
Custom admin URL,Tùy biến đường dẫn quản trị (admin URL)
Custom email 1,Email tùy chọn 1
Custom email 2,Email tùy chọn 2
Customer support,Hỗ trợ khách hàng
Date From,Ngày từ
Date To,Ngày đến
"Date/time format ""%s"" is not supported.","Định dạng ngày giờ ""%s"" không được hỗ trợ."
"Debug","Debug"
Default,Mặc định
Default Description,Mô tả mặc định
Default Keywords,Từ khóa mặc định
Default Pages,Trang mặc định
Default Robots,Robots mặc định
Default Store,Store mặc định
Default Store View,Store View mặc định
Default Title,Tiêu đề mặc định
Default country,Quốc gia mặc định
"Default no-route url","Default no-route url"
"Default web url","Đường dẫn web mặc định"
Delete,Xóa
Delete Store,Xóa Store
Delete Store View,Xóa Store View
Delete website,Xóa website
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Xóa một %1$s không xóa các thôn tin liên quan đến %1$s (như danh mục, các sản phẩm.), nhưng %1$s Không thể khôi phục được. Đề nghị bạn sao lưu CSDL trước khi xóa %1$s."
Design,Thiết kế
Design Change,Thay đổi thiết kế
Developer,Nhà phát triển
Developer Client Restrictions,Từ chỗi truy xuất các nhà phát triển bên ngoài
Disable email communications,Tắt tính năng liên lạc bằng email
Disable modules output,Tắt xuất modules
Duplicate Of Template Code,Trùng mã template
Edit Design Change,Chỉnh sửa thay đổi thiết kế
Edit Store,Chỉnh sửa Store
Edit Store View,Chỉnh sửa Store View
Edit Website,Chỉnh sửa Website
Empty identifier field name,Tên trường identifier trống
Empty main table name,Tên bảng chính trống
Enabled,Bật
Enabled for Admin,Bật cho quản trị (Admin)
Enabled for Frontend,Bật cho Frontend
"Error in file: ""%s"" - %s","Lỗi trong file: ""%s"" - %s"
Error while saving. Please try again later.,Lỗi khi đang lưu. Vui lòng thử lại.
Error: Passwords do not match,Lỗi: mật khẩu không khớp
"Exceptions Log File Name","Exceptions Log File Name"
First Day of Week,Ngày đầu tiên của tuần
"Footer","Footer"
Forgot Password Email Sender,Quên mật khẩu email sender
Forgot Password Email Template,Quên mật khẩu Email Template
General,Chung
General Settings,Cài đặt chung
General contact,Liên hệ chung
"Global","Global"
"HTML Head","HTML Head"
"Header","Header"
"Host","Host"
"Id path for specified store","Id path for specified store"
Incorrect credit card expiration date,Sai ngày hết hạn của thẻ tín dụng
Invalid base url type,Loại đường đã cơ bản không chính xác
Invalid block name to set child %s: %s,Invalid block name to set child %s: %s
Invalid block type: %s,Loại khối không chính xác: %s
Invalid block: %s,Khối không chính xác: %s
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
