//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"%s and greater","%s và lớn hơn"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>Các mặt hàng %d</strong> đã được tìm thấy bằng cách sử dụng các tiêu chí tìm kiếm sau đây"
"Advanced Search","Tìm kiếm nâng cao"
"Advanced Search Form","Mẫu tìm kiếm nâng cao"
"Advanced Search Result","Kết quả tìm kiếm nâng cao"
"All","Tất cả"
"Applies for ""Like"" search type only.","Chỉ áp dụng cho loại tìm kiếm ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Áp dụng điều hướng phân lớp nếu các kết quả tìm kiếm ít hơn"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Thiết lập thuộc tính thay đổi theo chỉ mục tìm kiếm. Xin chạy <a href=""%s"">Xây dựng lại chỉ mục tìm kiếm</a> process."
"Autogenerated Site Map","Sitemap tự động tạo ra"
"Catalog Advanced Search","Danh mục tìm kiếm nâng cao"
"Catalog Search","Danh mục tìm kiếm"
"Catalog Search Index","Danh mục chỉ mục tìm kiếm"
"Don't see what you're looking for?","Đừng xem những gì bạn đang tìm kiếm?"
"Enter ""0"" to enable layered navigation for any number of results.","Nhập ""0"" để kích hoạt điều hướng phân lớp cho bất kỳ số lượng kết quả nào."
"Go","Đến"
"Go to Home Page","Đến trang chủ"
"Grid","Lưới"
"Home","Trang chủ"
"List","Danh sách"
"Maximum Query Length","Độ dài truy vấn tối đa"
"Maximum Query Words Count","Số các từ truy vấn tối đa"
"Maximum Search query length is %s. Your query was cut.","Độ dài truy vấn tìm kiếm tối đã là %s. Truy vấn của Quý khách bị cắt."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Số các từ tối đa là %1$s. Trong tìm kiếm của Quý khách, truy vấn bị cắt phần sau: %2$s."
"Minimal Query Length","Độ dài truy vấn tối thiểu"
"Minimum Search query length is %s","Độ dài truy vấn tìm kiếm tối thiểu là %s"
"Modify your search","Sửa đổi tìm kiếm của Quý khách"
"No","Không"
"No items were found using the following search criteria.","Không tìm thấy mặt hàng nào sử dụng tiêu chí tìm kiếm sau."
"Please specify at least one search term.","Xin xác định ít nhất một từ khóa tìm kiếm."
"Popular Search Terms","Các từ khóa tìm kiếm thông thường"
"Quick Search Form","Mẫu tìm kiếm nhanh"
"Rebuild Catalog product fulltext search index","Xây dựng lại chỉ mục tìm kiếm toàn văn danh mục sản phẩm"
"Relevance","Thích hợp"
"Results","Các kết quả"
"Search","Tìm kiếm"
"Search Settings","Các thiết lập tìm kiếm"
"Search Terms","Các từ khóa tìm kiếm"
"Search Type","Loại tìm kiếm"
"Search entire store here...","Tìm kiếm toàn bộ cửa hàng ở đây..."
"Search results for '%s'","Các kết quả tìm kiếm cho '%s'"
"Search results for: '%s'","Các kết quả tìm kiếm cho: '%s'"
"Search:","Tìm kiếm:"
"Specified date is invalid.","Ngày được xác định không hợp lệ."
"Subscribe to Feed","Đăng ký Feed"
"There are no search terms available.","Không nhận được từ khóa tìm kiếm."
"Yes","Có"
"Your search returns no results.","Tìm kiếm của Quý khách không có kết quả."
"up to %s","lên tới %s"
