"Abandoned Carts","@FIXME: giỏ hàng bị bỏ rơi"
"Abandoned carts","Giỏ hàng đã bỏ"
Action,"Hành động"
"Add to Cart","Giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào mục mong muốn"
All,"Tất cả"
Any,"@FIXME: bất kỳ"
"Applied Coupon","Phiếu thưởng đã áp dụng"
"Applies to Any of the Specified Order Statuses","@FIXME: Áp dụng cho Bất kỳ của Dòng Các trạng thái rõ"
"Are you sure?","@FIXME: Bạn có chắc chắn?"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","@FIXME: Bạn có chắc chắn muốn làm mới thống kê cuộc đời?  Có thể có tác động hiệu quả trong hoạt động này."
"Avg. approved rating","Đánh giá trung bình đã chấp nhận"
"Avg. Approved Rating","@FIXME: Avg.  phê duyệt Đánh giá"
"Avg. rating","Đánh giá trung bình"
"Avg. Rating","@FIXME: Avg.  Đánh giá"
Bestsellers,"Bán chạy nhất"
"Bought from wishlists","Mua từ mục mong muốn"
Carrier/Method,"Vận chuyển/Cách thức"
Carts,"Giỏ hàng"
"Catalog Category (Without Subcategories)","@FIXME: Danh mục Category ( Nếu không có danh mục con )"
"Compared Products Grid Template","@FIXME: So với sản phẩm lưới Template"
"Compared Products List Template","@FIXME: So Template Danh sách sản phẩm"
Coupons,"Phiếu thưởng"
"Coupons Usage Report","@FIXME: Cách sử dụng phiếu giảm giá Báo cáo"
"Created At","@FIXME: Tại tạo"
"Created at","Tạo tại"
CSV,"@FIXME: CSV"
"Current Month Starts","@FIXME: Tháng hiện tại Bắt đầu"
"Customer by number of orders","Khác hàng theo số đơn hàng"
"Customer by orders total","Khách hàng theo tổng số đơn hàng"
Customer,"Khách hàng"
"Customer Name","@FIXME: Tên khách hàng"
"Customer name","Tên khách hàng"
"Customer report","Thông báo khách hàng"
"Customers by Number of Orders","@FIXME: Khách hàng bằng cách Số đơn đặt hàng"
"Customers by number of orders","@FIXME: Khách hàng theo số lượng đơn đặt hàng"
"Customers by Orders Total","@FIXME: Khách hàng bằng cách đơn đặt hàng Tổng số"
"Customers by orders total","@FIXME: Khách hàng theo đơn đặt hàng tổng"
Customers,"Khách hàng"
"Customers Report","@FIXME: Báo cáo khách hàng"
"Customers Reviews","@FIXME: Nhận xét khách hàng"
"Customers reviews","Nhận xét của khách hàng"
"Customers Tags","@FIXME: thẻ khách hàng"
"Customers tags","Tags của khách hàng"
"Customers that have wishlist: %s%","@FIXME: Khách hàng có muốn được tặng quà: % s%"
"Customer Tags","@FIXME: thẻ khách hàng"
"Customer tags","Tags khách hàng"
"Customer that have wishlist: %s%","Khách hàng có mục mong muốn: %s%"
Dashboard,"@FIXME: bảng điều khiển"
Day,Ngày
"Default Recently Compared Products count","Đếm các sản phẩm so sánh mặc định gần đây"
"Default Recently Compared Products Count","@FIXME: Gần đây mặc định So Sản phẩm Đếm"
