//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"* Required Fields","* Các trường yêu cầu phải chọn"
"-- Select --","-- Xin chọn --"
"Add New Option","Thêm tùy chọn mới"
"Add Selection","Thêm lựa chọn"
"As Low as","Thấp nhất là"
"As low as","Thấp nhất là"
"Bundle Items","Các mặt hàng đóng gói"
"Bundle Product","Sản phẩm đóng gói"
"Buy %1$s with %2$s discount each","Mua %1$s với chiết khấu %2$s"
"Catalog Product View (Bundle)","Xem danh mục sản phẩm (Đóng gói)"
"Checkbox","Hộp kiểm"
"Choose a selection...","Chọn một lựa chọn..."
"Close","Đóng"
"Default","Mặc định"
"Default Qty","Số lượng mặc định"
"Default Title","Tiêu đề mặc định"
"Drop-down","Thả xuống"
"Dynamic","Động"
"Excl. Tax","Trước thuế"
"Fixed","Cố định"
"From","Từ"
"From:","Từ:"
"Gift Message","Tin nhắn quà tặng"
"Incl. Tax","Bao gồm thuế"
"Input Type","Loại đầu vào"
"Is Required","Bắt buộc phải nhập"
"Message:","Tin nhắn:"
"Multiple Select","Tùy chọn nhiều đối tượng"
"N/A","N/A"
"No options of this product are available.","Không nhận được tùy chọn nào cho sản phẩm này."
"None","Không"
"Percent","Phần trăm"
"Percent Discount","Phần trăm giảm giá"
"Please Select Products to Add","Xin chọn các sản phẩm để thêm vào"
"Please enter search conditions to view products.","Xin nhập điều kiện tìm kiếm để xem sản phẩm."
"Please select options for product.","Xin chọn các tùy chọn cho sản phẩm."
"Please specify product option(s).","Xin xác định (các) tùy chọn sản phẩm."
"Position","Vị trí"
"Price Range","Phạm vi giá cả"
"Price Type","Loại giá"
"Price as configured","Thành tiền"
"Qty:","Số lượng:"
"Radio Buttons","Các nút tùy chọn đơn đối tượng"
"Required options are not selected.","Tùy chọn bắt buộc không được chọn."
"Selected required options are not available.","Không nhận được các tùy chọn bắt buộc được chọn."
"Separately","Tách riêng"
"Ship Bundle Items","Vận chuyển các mặt hàng đóng gói"
"Shipment","Giao vận"
"Store View Title","Tiêu đề không gian cửa hàng"
"There is no defined renderer for ""%s"" option type.","Không có biểu hiện xác định cho loại tùy chọn ""%s""."
"This product is also part of bundle(s)","Sản phẩm này cũng là một phần của (các) gói"
"To","Đến"
"To:","Đến:"
"Together","Cùng nhau"
"Use Default Value","Sử dụng giá trị mặc định"
"User Defined Qty","Sử dụng số lượng mặc định"
