Action,"@FIXME: hoạt động"
"Add Sitemap","@FIXME: Thêm Sơ đồ trang web"
Always,"@FIXME: luôn luôn"
"Categories Options","@FIXME: Thể loại tùy chọn"
"CMS Pages Options","@FIXME: CMS trang Tùy chọn"
Daily,"@FIXME: hằng ngày"
"Edit Sitemap","@FIXME: chỉnh sửa Sitemap"
Enabled,"@FIXME: Bật"
"Error Email Recipient","@FIXME: Lỗi Email người nhận"
"Error Email Sender","@FIXME: Lỗi Email người gửi"
"Error Email Template","@FIXME: Lỗi Email Template"
Filename,"@FIXME: tên tập tin"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","@FIXME: File""% s""không thể được cứu.  Xin vui lòng, hãy chắc chắn rằng thư mục""% s""là ghi được bởi máy chủ web."
Frequency,"@FIXME: tần số"
Generate,"@FIXME: phát ra"
"Generation Settings","@FIXME: Cài đặt hệ"
"Google Sitemap","@FIXME: Google Sitemap"
"Google Sitemap Section","@FIXME: Google Sitemap Mục"
Hourly,"@FIXME: mỗi giờ"
ID,"@FIXME: ID"
"Last Time Generated","@FIXME: Thời gian cuối cùng được tạo ra"
"Link for Google","@FIXME: Liên kết cho Google"
Monthly,"@FIXME: mỗi tháng"
Never,"@FIXME: không bao giờ"
"New Sitemap","@FIXME: Sơ đồ mới"
Path,"@FIXME: đường dẫn"
"Please create the specified folder ""%s"" before saving the sitemap.","@FIXME: Hãy tạo ra các thư mục chỉ định""% s""trước khi lưu sitemap."
"Please define correct path","@FIXME: Hãy xác định đường dẫn chính xác"
"Please make sure that ""%s"" is writable by web-server.","@FIXME: Xin chắc chắn""% s""là ghi bởi web -server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","@FIXME: Xin vui lòng chỉ sử dụng chữ cái ( az hoặc AZ), số (0-9 ) hoặc gạch dưới (_) trong tên tập tin.  Không có dấu cách hoặc ký tự khác được cho phép."
Priority,"@FIXME: quyền ưu tiên"
"Priority must be between 0 and 1","@FIXME: Ưu tiên phải nằm giữa 0 và 1"
"Products Options","@FIXME: Tùy chọn sản phẩm"
Sitemap,"@FIXME: Sơ đồ trang web"
"Sitemap generate Warnings","@FIXME: Sơ đồ trang web tạo ra ý"
"Sitemap ""%s"" has been successfully generated","@FIXME: Sơ đồ trang web""% s""đã được tạo thành công"
"Sitemap was successfully deleted","@FIXME: Sơ đồ trang web đã được xóa thành công"
"Sitemap was successfully saved","@FIXME: Sơ đồ trang web đã được lưu thành công"
"Start Time","@FIXME: Thời gian bắt đầu"
"Store View","@FIXME: cửa hàng Xem"
"The priority must be between 0 and 1.","@FIXME: Các ưu tiên phải nằm giữa 0 và 1."
"The sitemap has been deleted.","@FIXME: Các sơ đồ trang web đã bị xóa."
"The sitemap has been saved.","@FIXME: Các sơ đồ trang web đã được lưu."
"The sitemap ""%s"" has been generated.","@FIXME: Sitemap""% s""đã được tạo ra."
"This sitemap no longer exists.","@FIXME: Sitemap này không còn tồn tại."
"This sitemap no longer exists","@FIXME: Sitemap này không còn tồn tại"
"Unable to find a sitemap to delete.","@FIXME: Không thể tìm thấy một sơ đồ trang web để xóa."
"Unable to find a sitemap to delete","@FIXME: Không thể tìm thấy một sơ đồ trang web để xóa"
"Unable to find a sitemap to generate.","@FIXME: Không thể tìm thấy một sơ đồ trang web để tạo ra."
"Unable to find a sitemap to generate","@FIXME: Không thể tìm thấy một sơ đồ trang web để tạo ra"
"Unable to generate a sitemap","@FIXME: Không thể tạo ra một sitemap"
"Unable to generate the sitemap.","@FIXME: Không thể để tạo ra sitemap."
"Valid values range from 0.0 to 1.0","@FIXME: Giá trị hợp lệ nằm trong khoảng 0,0-1,0"
"Valid values range: from 0.0 to 1.0.","@FIXME: Giá trị hợp lệ nằm trong khoảng: 0,0-1,0."
Weekly,"@FIXME: hàng tuần"
Yearly,"@FIXME: hàng năm"
