Add,Thêm
ALL,"Tất cả"
ANY,"Bất kỳ"
Apply,"Chấp nhận"
by,bởi
"Conditions Combination","@FIXME: Kết hợp điều kiện"
contains,"có chứa"
"Customer Groups must be specified.","@FIXME: Nhóm khách hàng phải được xác định."
"Description: %s","Miêu tả: %s"
"does not contain","Không chứa"
"does not contains","@FIXME: không chứa"
"End Date must be greater than Start Date.","@FIXME: Cuối ngày phải lớn hơn Bắt đầu ngày."
"equals or greater than","bằng hoặc nhiều hơn"
"equals or less than","bằng hoặc ít hơn"
"Expire at: %s","Hết hạn vào: %s"
FALSE,Sai
for,"@FIXME: vì"
"for greater than","@FIXME: cho lớn hơn"
"for or greater than","@FIXME: cho hoặc lớn hơn"
found,"@FIXME: tìm thấy"
from,"@FIXME: từ"
"greater than","lớn hơn"
"If %s of these conditions are %s:","Nếu %s của điều kiện là %s:"
"Invalid discount amount.","Lượng giảm giá không đúng."
is,là
"is not","không là"
"is not one of","không là một của"
"is one of","là một của"
"less than","ít hơn"
"MATCHING ALL","Đúng với tất cả"
"MATCHING ANY","Đúng với bất kỳ"
"Name: %s","Tên: %s"
"not found","@FIXME: không tìm thấy"
"not from","@FIXME: không từ"
"NOT MATCHING ALL","Không đúng với tất cả"
"NOT MATCHING ANY","Không đúng với bất kỳ"
"Open Chooser","Mở người chọn"
"Perform following actions","Thực hiện các hành động sau"
"Please choose a condition to add...","Chọn điều kiện để thêm..."
"Please choose an action to add...","Chọn hành động để thêm..."
Remove,"Loại bỏ"
"Start at: %s","Bắt đầu lúc : %s"
"There is no information about associated entity type ""%s"".","@FIXME: Không có thông tin về liên kết thực thể gõ""% s""."
to,tới
TRUE,Đúng
was,"@FIXME: là"
"was not","@FIXME: không"
"Websites must be specified.","@FIXME: Các trang web phải được xác định."
