"A block identifier with the same properties already exists in the selected store.","@FIXME: Một dạng khối với các tính chất tương tự đã tồn tại trong các cửa hàng lựa chọn."
Action,"Tác vụ"
"Add New Block","Thêm khối mới"
"Add New Page","Thêm trang mới"
"A directory with the same name already exists. Please try another folder name.","@FIXME: Một thư mục có cùng tên đã tồn tại.  Vui lòng thử một tên thư mục."
"All Countries","Mọi Quốc Gia"
"All countries","Mọi Quốc Gia"
"Anchor Custom Text","@FIXME: Neo tùy chỉnh văn bản"
"Anchor Custom Title","@FIXME: Neo Tuỳ chỉnh Tiêu đề"
"An error occurred while saving the page.","@FIXME: Đã xảy ra lỗi khi lưu trang."
"A page URL key for specified store already exists.","@FIXME: Một khóa URL trang cho các cửa hàng quy định đã tồn tại."
"Are you sure you want to delete current folder?","@FIXME: Bạn có chắc chắn muốn xóa thư mục hiện hành?"
"Are you sure you want to delete the selected file?","@FIXME: Bạn có chắc chắn muốn xóa các tập tin được lựa chọn?"
Block,"Khối"
"Block Information","Thông Tin về Block"
"Block Title","Tiêu đề khối"
"Block was successfully deleted","Khối đã được xóa"
"Block was successfully saved","Khối đã được lưu"
"Cannot create new directory.","@FIXME: Không thể tạo thư mục mới."
"Cannot delete directory %s.","@FIXME: Không thể xóa thư mục % s."
"Cannot delete root directory %s.","@FIXME: Không thể xóa thư mục gốc % s."
"Cannot upload file.","@FIXME: Không thể tải lên tập tin."
"CMS Content Wrapper","@FIXME: CMS Content Wrapper"
"CMS Home Page","Trang chủ trang tin"
"CMS No Cookies Page","@FIXME: CMS Không Cookies Trang"
"CMS No-Route Page","@FIXME: CMS No- Route Trang"
"CMS No Route Page","Không có trang dẫn hướng CMS()"
"CMS Page","@FIXME: CMS trang"
"CMS Page Link Block Template","@FIXME: CMS Trang liên kết khối Template"
"CMS Page Link","@FIXME: CMS Trang liên kết"
"CMS Page Link Inline Template","@FIXME: CMS Trang liên kết Inline Template"
"CMS Pages (All)","@FIXME: CMS Trang ( Tất cả )"
CMS,"Quản lý tin tức (CMS)"
"CMS Static Block Default Template","@FIXME: CMS tĩnh Khối Mặc định Template"
"CMS Static Block","@FIXME: CMS tĩnh Khối"
"Collapse All","@FIXME: Thu gọn tất cả"
"Content Heading","@FIXME: Nhóm nội dung"
"Content Management","@FIXME: Quản lý nội dung"
Content,"Nội dung"
"Contents of a Static Block","@FIXME: Nội dung của một khối tĩnh"
"Create Folder...","@FIXME: Tạo thư mục..."
