Actions,"Hành động"
"Add Layout Update","@FIXME: Thêm Layout Update"
"Add New Widget Instance","@FIXME: Thêm New Widget Instance"
All,"@FIXME: tất cả"
"All Pages","@FIXME: Tất cả các trang"
"All Product Types","@FIXME: Tất cả các loại sản phẩm"
"Anchor Categories","@FIXME: neo Thể loại"
"An error occurred during saving a widget: %s","@FIXME: Đã xảy ra lỗi trong quá trình tiết kiệm một widget:% s"
Apply,"Áp dụng"
"Assign to Store Views","@FIXME: Gán vào Lưu trữ Lần đọc"
"Big Image","Ảnh lớn"
"Block Reference","Khối tham chiếu"
Categories,"Nhóm sản phẩm"
Choose...,"Chọn..."
CMS,"CMS"
Continue,"Tiếp tục"
"Default Template","Mẫu mặc định"
Delete,"@FIXME: xóa bỏ"
"Design Package/Theme","@FIXME: Thiết kế trọn gói / Theme"
"Export to:","@FIXME: Xuất khẩu sang:"
"Frontend Properties","@FIXME: lối vào Thuộc tính"
"Generic Pages","@FIXME: trang generic"
Images,"Ảnh"
"Insert Widget","Chèn Widget"
"Insert Widget...","@FIXME: Chèn Widget..."
"items selected","mục đã chọn"
"Layout Updates","@FIXME: Giao diện cập nhật"
"Manage Widget Instances","@FIXME: Quản lý Widget Instances"
"New Instance","@FIXME: Instance mới"
"New Widget Instance","@FIXME: New Widget Instance"
"Next page","@FIXME: trang tiếp theo"
"Non-Anchor Categories","@FIXME: Non- Neo Thể loại"
"Not Selected","@FIXME: chưa chọn"
"of %s pages","@FIXME: của % s trang"
"Open Chooser","@FIXME: mở Chooser"
Page,"@FIXME: trang"
"per page","mỗi trang"
"Please Select Block Reference First","@FIXME: Vui lòng chọn khối tham chiếu đầu tiên"
"Previous page","Trang trước"
Products,"@FIXME: sản phẩm"
"Remove Layout Update","@FIXME: Hủy bỏ Layout Update"
"Save and Continue Edit","@FIXME: Lưu và Tiếp tục Chỉnh sửa"
"Select All","@FIXME: chọn tất cả"
"Select Visible","Chọn các mục Đang hiển thị"
Settings,"Thiết lập"
"Sort Order","@FIXME: Xếp theo thứ tự"
"Sort Order of widget instances in the same block reference","@FIXME: Xếp theo thứ tự các trường hợp widget trong các tài liệu tham khảo cùng một khối"
"Specific %s","@FIXME: Cụ thể % s"
"Specified Page","@FIXME: trang quy định"
Template,"Mẫu"
"The information in this tab has been changed.","@FIXME: Các thông tin trong tab này đã được thay đổi."
"The widget instance has been deleted.","@FIXME: Các ví dụ phụ tùng đã bị xóa."
"The widget instance has been saved.","@FIXME: Các ví dụ phụ tùng đã được lưu."
"This tab contains invalid data. Please solve the problem before saving.","@FIXME: Tab này có chứa dữ liệu không hợp lệ.  Hãy giải quyết vấn đề trước khi lưu."
Thumbnail,"Ảnh thu nhỏ"
"Total %d records found","Tìm thấy %d bản ghi"
Type,"Kiểu"
"Unselect All","Bỏ chọn tất cả"
"Unselect Visible","Bỏ chọn Visible"
View,"Xem"
Widget,"Widget"
"Widget Insertion","@FIXME: Chen widget"
"Widget Instance","@FIXME: Instance widget"
"Widget instance is not full complete to create.","@FIXME: Ví dụ Widget là không đầy đủ hoàn chỉnh để tạo ra."
"Widget Instance Title","@FIXME: Widget thẩm Tiêu đề"
"Widget Options","Tùy chọn Widget"
Widgets,"Widget"
"Widget Type","Loại Widget"
"Widget Type is not specified","@FIXME: Widget Loại không được chỉ định"
"Wrong widget instance specified.","@FIXME: Ví dụ phụ tùng sai quy định."
