"Account login","@FIXME: đăng nhập tài khoản"
"Account password","@FIXME: mật khẩu tài khoản"
Active,"@FIXME: hoạt động"
"Add Attribute Mapping","@FIXME: Thêm thuộc tính bản đồ"
"Add New Attribute","@FIXME: Thêm New Attribute"
"Add to Google Base","@FIXME: Thêm vào Google Base"
"Are you sure?","@FIXME: Bạn có chắc chắn?"
Attribute,"@FIXME: đặc tính"
"Attribute Set and Item Type","@FIXME: Attribute Set và khoản Loại"
"Attribute Set","@FIXME: Thuộc Tính"
Attributes,"@FIXME: thuộc tính"
"Attributes mapping","@FIXME: thuộc tính bản đồ"
"Attributes Mapping","@FIXME: thuộc tính bản đồ"
"Attributes Set","@FIXME: Các thuộc tính Set"
AuthSub,"@FIXME: AuthSub"
"Available Products","@FIXME: Sản phẩm có sẵn"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.",@TODO
"British Pound Sterling","@FIXME: Bảng Anh"
"Cannot update Google Base Item for Store '%s'",@TODO
"Captcha confirmation error: %s",@TODO
"Captcha confirmed successfully","@FIXME: Captcha khẳng định thành công"
"Captcha has been confirmed.","@FIXME: Captcha đã được xác nhận."
Catalog,"@FIXME: mục lục"
Clicks,"@FIXME: Nhấp chuột"
ClientLogin,"@FIXME: ClientLogin"
Confirm,"@FIXME: xác nhận"
"Current Mapping will be reloaded. Continue?","@FIXME: Lập bản đồ hiện tại sẽ được nạp lại. Tiếp tục?"
"Custom attribute, no mapping","@FIXME: Thuộc tính tùy chỉnh, không có bản đồ"
"Default Store (%s)",@TODO
Delete,"@FIXME: xóa bỏ"
"Delete Mapping","@FIXME: xóa bản đồ"
"Edit Item Type","@FIXME: Chỉnh sửa mục Loại"
"Edit Item Type ""%s""",@TODO
"Error: %s",@TODO
Euro,"@FIXME: đồng euro"
Expires,"@FIXME: hết hạn"
Germany,"@FIXME: Đức"
"Google Base Attribute","@FIXME: Google Base Attribute"
"Google base","@FIXME: cơ sở Google"
"Google Base","@FIXME: Google Base"
"Google Base ID","@FIXME: Google Base ID"
"Google Base Items","@FIXME: Google Base mục"
"Google Base Item type","@FIXME: Google Base Kiểu"
"Google Base Item Type","@FIXME: Google Base mục Loại"
Google,"@FIXME: Google"
Hide,"@FIXME: giấu"
Hosted,"@FIXME: tổ chức"
"Hosted or Google","@FIXME: Tổ chức hoặc Google"
Impr.,"@FIXME: Impr."
"Invalid Product Model for Google Base Item","@FIXME: Mẫu sản phẩm không hợp lệ cho Google Base mục"
"Item model is not specified to delete Google Base entry","@FIXME: Mục mô hình không được chỉ định để xóa Google Base nhập"
"Item model is not specified to delete Google Base entry.","@FIXME: Mục mô hình không được chỉ định để xóa Google Base nhập cảnh."
Items,"@FIXME: mặt hàng"
"Item Types","@FIXME: Các loại mục"
"Item Type was deleted","@FIXME: Loại mục đã bị xóa"
"Item type was successfully saved","@FIXME: Kiểu đã được lưu thành công"
"Manage Attribute Mapping","@FIXME: Quản lý thuộc tính bản đồ"
"Manage Attributes","@FIXME: quản lý thuộc tính"
"Manage Items","@FIXME: quản lý mục"
"New Item Type","@FIXME: New Item Loại"
"New ItemType","@FIXME: New itemtype"
No,"@FIXME: không"
"No items were deleted from Google Base","@FIXME: Không có mục nào đã được xóa từ Google Base"
"No items were published","@FIXME: Không có mục nào được công bố"
"No items were saved as inactive items","@FIXME: Không có mục nào được lưu dưới dạng các mặt hàng không hoạt động"
"No items were saved as Inactive items","@FIXME: Không có mục nào được lưu dưới dạng các mặt hàng không hoạt động"
"No products were added to Google Base","@FIXME: Không có sản phẩm đã được thêm vào Google Base"
"Object model is not specified to save Google Base entry","@FIXME: Mô hình đối tượng không được xác định để lưu Google Base nhập"
"Object model is not specified to save Google Base entry.","@FIXME: Mô hình đối tượng không được xác định để lưu Google Base nhập cảnh."
"Page views","@FIXME: lượt xem trang"
"Please, select Attribute Set and Google Item Type to load attributes","@FIXME: Xin vui lòng, chọn Thuộc Tính và Google Mục Type để tải các thuộc tính"
"Product Name","@FIXME: Tên sản phẩm"
Published,"@FIXME: xuất bản"
Publish,"@FIXME: xuất bản"
Remove,"@FIXME: tẩy"
"Save Mapping","@FIXME: Lưu bản đồ"
"Session expired during export. Please revise exported products and repeat the process if necessary.","@FIXME: Phiên đã hết hạn trong xuất khẩu. Vui lòng xem lại các sản phẩm xuất khẩu và lặp lại quá trình này nếu cần thiết."
Synchronize,"@FIXME: đồng bộ hóa"
"Target Country","@FIXME: Target Country"
"The item type has been saved.","@FIXME: Các loại sản phẩm đã được lưu lại."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","@FIXME: Hành động này sẽ cập nhật các mặt hàng thống kê và loại bỏ các mục mà không có sẵn trong Google Base. Tiếp tục?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.",@TODO
"Total of %d items(s) have been published.",@TODO
"Total of %d items(s) have been removed from Google Base.",@TODO
"Total of %d items(s) have been saved as inactive items.",@TODO
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated",@TODO
"Total of %d items(s) were successfully published",@TODO
"Total of %d items(s) were successfully removed from Google Base",@TODO
"Total of %d items(s) were successfully saved as Inactive items",@TODO
"Total of %d product(s) have been added to Google Base.",@TODO
"Total of %d product(s) were successfully added to Google Base",@TODO
"Unable to connect to Google Base. Please, check Account settings in configuration.","@FIXME: Không thể kết nối với Google Base. Xin vui lòng kiểm tra cài đặt tài khoản trong cấu hình."
"Unable to select a Store View.","@FIXME: Không thể chọn một cửa hàng View."
