"Add gift message for shopping cart","@FIXME: Thêm nhắn món quà cho giỏ hàng"
"Add gift messages for quote item of shopping cart","@FIXME: Thêm thông báo quà tặng cho mục báo của giỏ mua hàng"
"Add gift messages to products of shopping cart","@FIXME: Thêm thông báo quà tặng cho các sản phẩm của giỏ mua hàng"
"Add Gift Message","Thêm thông báo quà tặng"
"Add gift options.","@FIXME: Thêm lựa chọn món quà."
"Add gift options","@FIXME: Thêm lựa chọn quà tặng"
"Add gift options for Individual Items","@FIXME: Thêm lựa chọn quà tặng cho cá nhân Items"
"Add gift options for the Entire Order","@FIXME: Thêm lựa chọn quà tặng cho toàn bộ thứ tự"
Add,Thêm
"Allow Gift Messages for Order Items","Cho phép thông báo quà tặng cho tất cả các sản phẩm đặt hàng"
"Allow Gift Messages on Order Level","Cho phép thông báo quà tặng trên cấp order"
"An error occurred while saving the gift message.","@FIXME: Đã xảy ra lỗi khi lưu thông điệp quà tặng."
"Are you sure?","Bạn có chắc?"
Cancel,Hủy
"Check this checkbox if you want to add gift messages.","Đánh dấu chọn nếu bạn muốn thêm thông báo quà tặng."
"Check this checkbox if you want to add gift messages to your items.","Đánh dấu chọn nếu bạn muốn thêm thông báo quà tặng vào sản phẩm của bạn."
Close,Đóng
"Do you have any gift items in your order?","Bạn có sản phẩm quà tặng nào trong đơn hàng của bạn?"
Edit,"Chỉnh sửa"
"Edit Gift Message","Chỉnh sửa thông báo quà tặng"
"Enter a gift message for each item in your order.","Nhập thông báo quà tặng cho mỗi sản phẩm trong giỏ hàng của bạn."
"Enter a gift message for entire order.","Nhập một thông báo cho toàn bộ các đơn hàng."
"Enter a gift message for this address.","Nhập thông báo quà tặng cho địa chỉ này."
"Error while saving gift message","Lỗi khi lưu thông báo quà tặng"
From,Từ
"Gift Message API","@FIXME: Quà tặng tin nhắn API"
"Gift message has been successfully saved","Thông báo quà tặng đã được lưu"
"Gift Messages","Thông báo quà tặng"
"Gift Message","Thông báo quà tặng"
"Gift Options","@FIXME: Tùy chọn quà tặng"
"Gift Options for","@FIXME: Tùy chọn quà tặng cho"
"Gift Options for Individual Items","@FIXME: Tùy chọn quà tặng cho cá nhân Items"
"Gift Options for the Entire Order.","@FIXME: Tùy chọn quà tặng cho toàn bộ thứ tự."
"Gift Options for this address.","@FIXME: Tùy chọn quà tặng cho địa chỉ này."
"Item %d of %d","Sản phẩm %d của %d"
Message,"Thông báo"
No,Không
OK,"@FIXME: tốt"
Remove,Bỏ
"* Required Fields","* Trường bắt buộc"
"Save Gift Message","Lưu thông báo quà tặng"
Save,Lưu
"The gift message has been removed","@FIXME: Các thông báo quà tặng đã được gỡ bỏ"
"The gift message has been saved.","@FIXME: Các thông báo quà tặng đã được lưu."
"The gift message has been saved","@FIXME: Các thông báo quà tặng đã được lưu"
To,Đến
"Unknown entity type","@FIXME: Không biết loại thực thể"
"Use config","Sử dụng cấu hình"
Yes,Có
"You can leave a box blank if you don\'t wish to add a gift message for the item.","Bạn có thể để trống nếu bạn không muốn thêm thông báo quà tặng vào cho sản phẩm này."
"You can leave a box blank if you don't wish to add a gift message for the item.",@TODO
"You can leave a box blank if you don\'t wish to add a gift message for this address.","Bạn có thể bỏ trống nếu bạn không muốn thêm thông báo quà tặng cho địa chỉ này."
"You can leave a box blank if you don't wish to add a gift message for this address.",@TODO
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","Bạn có thể bỏ trống nếu bạn không muốn thêm thông báo quà tặng cho toàn bộ đơn hàng này."
"You can leave a box blank if you don't wish to add a gift message for whole order.",@TODO
"You can leave this box blank if you do not wish to add a gift message for the item.","@FIXME: Bạn có thể bỏ trống hộp này nếu bạn không muốn thêm một tin nhắn món quà cho các mục."
"You can leave this box blank if you do not wish to add a gift message for this address.","@FIXME: Bạn có thể bỏ trống hộp này nếu bạn không muốn thêm một tin nhắn món quà cho địa chỉ này."
"You can leave this box blank if you do not wish to add a gift message for whole order.","@FIXME: Bạn có thể bỏ trống hộp này nếu bạn không muốn thêm một tin nhắn quà tặng cho toàn bộ đơn hàng."
"Your gift message has been successfully removed","Thông báo quà tặng của bạn đã được xóa bỏ"
"Your gift message has been successfully saved","Thông báo quà tặng của bạn đã được lưu"
"Your gift message successfully removed","Thông báo quà tặng của bạn đã được bỏ"
"Your gift message successfully saved","Thông báo quà tặng của bạn đã được lưu"
